blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalJungleMinionsKilled,redCSPerMin,blue_kda_ratio,blue_vision_advantage,kills_diff,elite_monster_diff,resultado_label,categoria_gold,first_blood_label,dragon_label
0,16,1,0,5,9,3,1,1,0,0,15101,6.4,16888,48,-3014,-357,18.7,23,5,1,13,0,0,0,0,18115,6.6,17245,49,25.2,0.35714285714285715,11,-4,1,Derrota Azul,Forte Desvantagem,Sem First Blood,1 Dragao
0,18,2,0,3,6,3,1,0,1,0,15032,6.6,16832,48,-1683,-1363,21.3,36,3,1,6,1,1,0,0,16715,7.0,18195,44,23.6,0.3333333333333333,15,-3,0,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,53,3,0,4,7,4,0,0,0,0,16017,6.6,17524,55,-1031,-570,20.2,16,1,1,7,0,0,0,0,17048,7.0,18094,52,22.6,0.36363636363636365,78,-3,0,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,42,1,1,7,3,8,1,1,0,0,16146,6.6,16204,43,2037,-281,19.6,19,5,0,3,0,0,0,0,14109,6.4,16485,57,17.2,0.7,37,4,1,Derrota Azul,Forte Vantagem,Com First Blood,1 Dragao
1,17,1,1,12,3,11,1,1,0,0,18722,7.2,18618,57,4246,3880,21.2,46,2,0,6,0,0,0,0,14476,6.0,14738,44,17.6,0.8,15,9,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
1,21,3,0,15,16,10,2,1,1,0,19247,6.8,16835,44,-1709,-1585,20.5,53,6,1,16,0,0,0,0,20956,7.0,18420,44,18.2,0.4838709677419355,15,-1,2,Vitoria Azul,Forte Desvantagem,Sem First Blood,1 Dragao
1,16,1,0,7,3,7,1,1,0,0,16355,7.0,18991,43,1143,1251,23.8,12,0,1,2,0,0,0,0,15212,7.0,17740,59,21.6,0.7,16,4,1,Vitoria Azul,Leve Vantagem,Sem First Blood,1 Dragao
1,15,4,0,13,6,15,1,1,0,0,19708,7.2,18711,47,5186,2739,20.1,17,2,1,4,0,0,0,0,14522,6.4,15972,24,17.0,0.6842105263157895,13,7,1,Vitoria Azul,Forte Vantagem,Sem First Blood,1 Dragao
0,16,2,0,6,5,6,0,0,0,0,15691,7.0,17592,48,456,-69,21.2,13,1,1,3,2,1,1,0,15235,6.8,17661,52,19.2,0.5454545454545454,15,1,-2,Derrota Azul,Leve Vantagem,Sem First Blood,0 Dragoes
1,19,2,0,10,3,13,1,1,0,0,17951,7.2,18502,44,3022,2631,22.6,13,4,1,5,0,0,0,0,14929,6.6,15871,44,20.9,0.7692307692307693,15,7,1,Vitoria Azul,Forte Vantagem,Sem First Blood,1 Dragao
1,18,5,0,7,5,6,0,0,0,0,16750,6.8,17603,52,1221,462,21.5,35,3,1,5,0,0,0,0,15529,6.8,17141,48,19.7,0.5833333333333334,15,2,0,Vitoria Azul,Leve Vantagem,Sem First Blood,0 Dragoes
0,18,2,1,6,4,11,0,0,0,0,15956,6.8,17199,44,-43,-1154,21.5,13,3,0,4,0,0,0,0,15999,7.2,18353,69,22.6,0.6,15,2,0,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,16,3,1,11,10,12,1,1,0,0,18286,6.6,16569,31,149,-1568,18.3,12,4,0,12,1,0,1,0,18137,7.0,18137,53,20.5,0.5238095238095238,12,1,0,Vitoria Azul,Leve Vantagem,Com First Blood,1 Dragao
1,16,1,1,10,7,9,1,1,0,1,19018,7.2,19294,63,3126,3795,20.9,12,1,0,11,0,0,0,0,15892,6.4,15499,51,16.2,0.5882352941176471,15,3,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,15,3,0,3,4,1,0,0,0,0,14205,7.0,18034,50,-1099,-396,19.7,12,3,1,4,1,1,0,0,15304,7.0,18430,43,23.6,0.42857142857142855,12,-1,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,16,2,1,7,13,6,0,0,0,0,16039,6.8,16809,46,-2168,-2823,17.9,14,3,0,9,1,1,0,0,18207,7.4,19632,46,18.5,0.35,13,-6,-1,Derrota Azul,Forte Desvantagem,Com First Blood,0 Dragoes
1,28,3,1,9,4,14,0,0,0,0,18274,7.2,18252,57,2422,656,24.2,15,1,0,4,0,0,0,0,15852,7.0,17596,59,22.8,0.6923076923076923,27,5,0,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
0,17,1,1,10,13,6,0,0,0,0,18152,7.0,18229,41,-921,-1198,24.5,17,5,0,16,1,1,0,0,19073,7.2,19427,44,20.6,0.43478260869565216,12,-3,-1,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,43,5,0,10,7,11,2,1,1,0,17748,7.0,19116,43,1212,2099,20.6,17,5,1,10,0,0,0,0,16536,7.0,17017,40,19.1,0.5882352941176471,38,3,2,Vitoria Azul,Leve Vantagem,Sem First Blood,1 Dragao
1,16,3,1,10,2,7,1,1,0,0,18828,7.4,20691,68,4124,3900,24.4,13,3,0,1,0,0,0,0,14704,6.8,16791,56,22.0,0.8333333333333334,13,8,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
1,24,4,1,9,7,16,0,0,0,0,18000,7.0,18178,40,796,290,20.4,15,4,0,17,0,0,0,0,17204,6.8,17888,64,18.7,0.5625,20,2,0,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
0,12,3,1,4,9,5,0,0,0,0,14420,6.4,15196,32,-2519,-1095,19.2,18,3,0,15,0,0,0,0,16939,6.4,16291,46,19.4,0.3076923076923077,9,-5,0,Derrota Azul,Forte Desvantagem,Com First Blood,0 Dragoes
0,16,3,0,8,6,13,1,1,0,0,17003,6.8,17843,43,253,-1300,22.2,18,3,1,7,0,0,0,0,16750,7.2,19143,75,21.8,0.5714285714285714,13,2,1,Derrota Azul,Leve Vantagem,Sem First Blood,1 Dragao
1,14,4,1,4,4,5,0,0,0,0,16139,6.8,17770,46,690,444,24.5,21,4,0,7,1,1,0,0,15449,6.8,17326,52,20.6,0.5,10,0,-1,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
0,16,0,0,5,9,5,0,0,0,0,15477,6.4,15965,47,-2635,-2694,17.3,12,3,1,12,1,1,0,0,18112,7.0,18659,43,24.1,0.35714285714285715,13,-4,-1,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
1,30,6,1,15,7,15,2,1,1,0,20822,6.8,18683,53,5040,2681,23.7,20,4,0,8,0,0,0,0,15782,6.4,16002,26,18.7,0.6818181818181818,26,8,2,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
1,15,3,0,7,7,9,0,0,0,0,16712,7.0,18681,64,-424,308,19.0,15,2,1,7,0,0,0,0,17136,7.2,18373,52,20.3,0.5,13,0,0,Vitoria Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,13,0,1,8,4,10,1,0,1,0,17938,7.0,18626,51,3117,1580,23.9,13,0,0,1,1,1,0,0,14821,6.8,17046,44,19.6,0.6666666666666666,13,4,0,Derrota Azul,Forte Vantagem,Com First Blood,0 Dragoes
0,50,1,1,6,12,4,0,0,0,0,15809,6.8,17592,30,-3854,-1813,19.8,14,1,0,15,0,0,0,0,19663,7.2,19405,39,23.8,0.3333333333333333,49,-6,0,Derrota Azul,Forte Desvantagem,Com First Blood,0 Dragoes
1,53,6,1,6,1,7,1,1,0,0,16036,6.8,17948,56,2083,1282,20.0,20,6,0,2,0,0,0,0,13953,6.8,16666,46,22.1,0.8571428571428571,111,5,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,19,2,0,6,10,7,0,0,0,0,15258,6.8,17586,50,-3222,-1976,17.9,15,4,1,11,1,1,0,0,18480,7.2,19562,56,24.0,0.375,15,-4,-1,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,25,1,1,4,3,4,0,0,0,0,15838,6.8,18368,62,-348,-901,22.1,17,4,0,4,1,1,0,0,16186,7.2,19269,66,26.1,0.5714285714285714,21,1,-1,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,41,2,1,6,3,10,1,0,1,0,16363,6.8,17356,44,2448,1861,20.9,16,3,0,4,0,0,0,0,13915,6.4,15495,47,18.4,0.6666666666666666,38,3,1,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
1,19,5,1,4,6,3,1,1,0,0,15373,6.4,16354,54,-1323,-1422,22.8,19,3,0,5,0,0,0,0,16696,7.0,17776,59,21.6,0.4,16,-2,1,Vitoria Azul,Leve Desvantagem,Com First Blood,1 Dragao
0,17,4,1,5,5,5,1,0,1,0,16574,7.2,19529,60,803,857,23.5,18,4,0,6,1,1,0,0,15771,7.2,18672,64,20.4,0.5,13,0,0,Derrota Azul,Leve Vantagem,Com First Blood,0 Dragoes
0,53,4,1,4,7,6,1,1,0,0,15787,7.2,18200,42,-1856,-1804,23.0,14,3,0,11,0,0,0,0,17643,7.4,20004,66,22.5,0.36363636363636365,141,-3,1,Derrota Azul,Forte Desvantagem,Com First Blood,1 Dragao
1,17,6,0,9,3,9,0,0,0,0,18125,7.8,21102,48,2828,2738,23.6,53,5,1,2,1,1,0,0,15297,7.2,18364,71,22.7,0.75,12,6,-1,Vitoria Azul,Forte Vantagem,Sem First Blood,0 Dragoes
0,13,1,0,6,8,6,0,0,0,0,15883,6.8,16480,28,-791,-2157,22.8,17,0,1,7,0,0,0,0,16674,6.8,18637,48,21.3,0.42857142857142855,13,-2,0,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
1,14,2,1,6,5,9,0,0,0,0,15448,6.8,16856,47,58,203,18.0,39,4,0,6,1,1,0,0,15390,6.6,16653,48,20.1,0.5454545454545454,10,1,-1,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
1,42,5,1,10,5,15,0,0,0,0,18062,6.8,17582,33,2301,667,22.0,25,5,0,9,1,1,0,0,15761,6.6,16915,52,20.4,0.6666666666666666,37,5,-1,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
0,17,4,0,3,12,1,0,0,0,0,13800,6.4,15275,44,-4921,-2826,16.5,17,3,1,16,1,1,0,0,18721,7.0,18101,60,20.8,0.2,14,-9,-1,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
1,34,2,1,9,3,6,0,0,0,0,17484,7.4,20325,50,1128,858,23.0,15,3,0,2,1,1,0,0,16356,7.4,19467,80,22.6,0.75,31,6,-1,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
0,14,3,0,11,14,10,0,0,0,0,18420,7.2,19093,46,-1004,-515,22.5,14,2,1,14,0,0,0,0,19424,7.2,19608,52,20.5,0.44,12,-3,0,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
1,35,4,1,8,5,7,2,1,1,0,16712,6.8,17310,41,2427,2303,20.8,12,2,0,7,0,0,0,0,14285,6.4,15007,33,17.2,0.6153846153846154,33,3,2,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,24,0,0,8,11,9,0,0,0,0,16655,7.0,17831,44,-1806,-588,22.2,13,3,1,13,2,1,1,0,18461,7.0,18419,55,21.5,0.42105263157894735,21,-3,-2,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
1,18,5,1,6,3,4,0,0,0,0,16876,7.0,18664,44,2717,2815,25.6,17,4,0,4,0,0,0,0,14159,6.4,15849,43,20.5,0.6666666666666666,14,3,0,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
1,15,0,1,10,7,11,2,1,1,0,16743,6.6,17531,44,52,221,18.9,14,2,0,5,0,0,0,0,16691,6.8,17310,38,20.8,0.5882352941176471,13,3,2,Vitoria Azul,Leve Vantagem,Com First Blood,1 Dragao
1,22,6,1,6,10,5,0,0,0,0,16003,6.8,17857,52,-1761,-1446,21.4,22,4,0,9,0,0,0,0,17764,7.2,19303,32,23.8,0.375,18,-4,0,Vitoria Azul,Forte Desvantagem,Com First Blood,0 Dragoes
0,26,1,0,2,3,4,0,0,0,0,15416,7.0,18096,64,-83,-64,25.3,14,3,1,3,1,1,0,0,15499,7.2,18160,68,23.0,0.4,23,-1,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,15,2,0,3,3,2,1,0,1,0,15885,7.0,18531,52,-257,-883,24.3,16,1,1,6,0,0,0,0,16142,7.2,19414,76,23.2,0.5,14,0,1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
1,17,4,0,12,5,13,0,0,0,0,18628,7.0,18625,43,2863,2632,23.9,18,5,1,7,0,0,0,0,15765,6.6,15993,45,20.7,0.7058823529411765,12,7,0,Vitoria Azul,Forte Vantagem,Sem First Blood,0 Dragoes
1,17,2,1,2,2,3,0,0,0,0,14619,6.6,16874,40,622,-1048,24.4,41,3,0,1,1,1,0,0,13997,6.8,17922,51,19.8,0.5,14,0,-1,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
1,35,2,0,3,5,3,0,0,0,0,15908,7.4,18487,60,-1194,-1133,22.0,17,3,1,4,1,1,0,0,17102,7.2,19620,56,25.5,0.375,32,-2,-1,Vitoria Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,36,1,1,1,9,0,0,0,0,0,13860,6.4,16122,49,-5214,-3160,20.3,13,4,0,10,1,0,1,1,19074,7.2,19282,43,23.3,0.1,32,-8,-1,Derrota Azul,Forte Desvantagem,Com First Blood,0 Dragoes
1,18,2,1,5,2,6,1,1,0,0,15814,7.0,17846,52,1012,191,24.0,34,2,0,1,0,0,0,0,14802,6.8,17655,51,22.9,0.7142857142857143,16,3,1,Vitoria Azul,Leve Vantagem,Com First Blood,1 Dragao
1,23,4,1,11,9,12,1,0,1,1,19858,7.4,19501,54,3335,2786,21.6,17,3,0,12,1,1,0,0,16523,6.4,16715,46,16.8,0.55,20,2,0,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
1,14,3,1,6,1,6,0,0,0,0,17066,7.6,20061,75,3215,2650,23.9,12,1,0,0,1,0,1,0,13851,6.8,17411,56,22.0,0.8571428571428571,13,5,-1,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
0,20,3,0,9,8,14,1,1,0,0,17494,6.8,17832,44,14,202,20.1,17,3,1,9,0,0,0,0,17480,7.0,17630,44,24.3,0.5294117647058824,17,1,1,Derrota Azul,Leve Vantagem,Sem First Blood,1 Dragao
1,21,2,1,2,1,1,0,0,0,0,16528,7.4,20454,92,2617,3735,26.2,12,3,0,1,1,1,0,0,13911,6.6,16719,48,23.1,0.6666666666666666,18,1,-1,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
0,18,3,0,3,12,6,0,0,0,0,13961,6.2,14440,25,-4731,-2817,16.8,20,6,1,21,0,0,0,0,18692,6.8,17257,42,20.6,0.2,11,-9,0,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,12,2,1,8,6,6,0,0,0,0,17040,7.2,18469,56,1740,929,23.0,14,2,0,5,1,1,0,0,15300,6.8,17540,48,19.8,0.5714285714285714,10,2,-1,Derrota Azul,Forte Vantagem,Com First Blood,0 Dragoes
0,12,1,1,9,10,3,0,0,0,0,15974,6.6,16903,36,-1008,-1516,17.5,15,3,0,9,1,1,0,0,16982,7.0,18419,56,18.4,0.47368421052631576,9,-1,-1,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,19,2,1,2,2,2,1,1,0,0,15430,7.0,18761,71,467,-298,24.6,12,0,0,2,0,0,0,0,14963,7.0,19059,64,23.6,0.5,19,0,1,Vitoria Azul,Leve Vantagem,Com First Blood,1 Dragao
0,13,3,0,5,5,7,0,0,0,0,15903,6.8,17896,55,811,241,20.6,15,2,1,2,0,0,0,0,15092,7.0,17655,52,19.9,0.5,11,0,0,Derrota Azul,Leve Vantagem,Sem First Blood,0 Dragoes
0,16,6,0,6,8,4,0,0,0,0,15342,6.6,15988,39,-1758,-2010,22.1,20,3,1,10,1,1,0,0,17100,7.0,17998,48,22.6,0.42857142857142855,13,-2,-1,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,13,2,1,5,4,5,1,0,1,0,17564,7.4,20203,73,1369,1440,25.7,19,4,0,5,1,1,0,0,16195,7.2,18763,43,23.3,0.5555555555555556,9,1,0,Derrota Azul,Leve Vantagem,Com First Blood,0 Dragoes
0,18,0,0,6,10,6,0,0,0,0,16577,6.6,16338,36,-1311,-1472,22.1,19,1,1,12,1,1,0,0,17888,7.0,17810,72,16.9,0.375,17,-4,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
1,18,2,1,14,2,14,1,1,0,0,19185,7.0,18543,48,5794,3899,19.6,16,4,0,1,0,0,0,0,13391,6.0,14644,46,16.6,0.875,14,12,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,12,0,1,8,6,5,0,0,0,0,16293,7.2,18611,44,-176,351,21.8,14,3,0,5,0,0,0,0,16469,7.0,18260,56,20.3,0.5714285714285714,7,2,0,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
0,14,1,0,6,6,7,1,1,0,0,16642,7.0,18251,52,-348,-611,21.8,15,0,1,4,1,0,1,0,16990,7.0,18862,40,23.7,0.5,14,0,0,Derrota Azul,Leve Desvantagem,Sem First Blood,1 Dragao
1,17,6,1,8,8,12,0,0,0,0,17856,6.8,18232,50,226,-955,22.1,12,2,0,8,1,1,0,0,17630,7.2,19187,50,22.1,0.5,15,0,-1,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
0,34,1,0,4,6,6,0,0,0,0,15829,6.8,17626,68,-869,-814,18.5,17,1,1,2,1,1,0,0,16698,6.8,18440,56,23.1,0.4,33,-2,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,18,4,0,8,10,8,0,0,0,0,16996,6.8,18052,44,-1065,626,22.7,19,4,1,13,0,0,0,0,18061,6.8,17426,30,21.6,0.4444444444444444,14,-2,0,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,17,3,0,3,3,3,0,0,0,0,15603,6.8,18354,72,288,-339,23.9,21,5,1,2,0,0,0,0,15315,7.0,18693,52,23.2,0.5,12,0,0,Derrota Azul,Leve Vantagem,Sem First Blood,0 Dragoes
1,16,6,1,9,10,11,1,1,0,0,17292,6.8,17127,50,-606,-1487,20.0,17,2,0,10,0,0,0,0,17898,7.0,18614,50,19.7,0.47368421052631576,14,-1,1,Vitoria Azul,Leve Desvantagem,Com First Blood,1 Dragao
0,15,1,0,3,5,3,0,0,0,0,15820,6.8,17793,55,-306,-282,22.0,17,4,1,8,2,1,1,0,16126,7.0,18075,52,22.2,0.375,11,-2,-2,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
1,13,5,1,9,2,13,1,1,0,0,19079,7.4,20020,59,4371,2705,24.9,21,1,0,2,0,0,0,0,14708,6.8,17315,39,23.7,0.8181818181818182,12,7,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,15,2,0,6,6,5,0,0,0,0,15856,7.0,17723,47,-460,60,22.4,16,2,1,7,1,1,0,0,16316,6.8,17663,36,23.8,0.5,13,0,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,17,2,1,5,9,5,0,0,0,0,15953,6.8,16466,51,-1047,-193,22.3,16,1,0,10,1,1,0,0,17000,6.4,16659,68,17.9,0.35714285714285715,16,-4,-1,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,41,3,0,4,17,4,0,0,0,0,15488,6.6,16539,47,-4903,-3146,18.4,23,6,1,16,1,1,0,0,20391,7.4,19685,48,20.4,0.19047619047619047,35,-13,-1,Vitoria Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,19,4,1,6,9,7,0,0,0,0,16369,7.0,18174,51,-1673,-1221,23.6,36,6,0,10,0,0,0,0,18042,7.4,19395,40,23.9,0.4,13,-3,0,Derrota Azul,Forte Desvantagem,Com First Blood,0 Dragoes
0,15,6,1,6,5,9,0,0,0,0,16022,6.8,17931,48,318,370,22.7,53,3,0,4,1,1,0,0,15704,6.8,17561,56,21.0,0.5454545454545454,12,1,-1,Derrota Azul,Leve Vantagem,Com First Blood,0 Dragoes
1,20,1,0,6,6,8,0,0,0,0,16140,7.0,17727,47,556,879,21.1,15,4,1,3,1,1,0,0,15584,6.6,16848,48,21.5,0.5,16,0,-1,Vitoria Azul,Leve Vantagem,Sem First Blood,0 Dragoes
1,18,2,1,10,11,13,0,0,0,0,17447,6.4,16191,38,-384,-1658,17.3,12,1,0,9,0,0,0,0,17831,7.0,17849,40,20.8,0.47619047619047616,17,-1,0,Vitoria Azul,Leve Desvantagem,Com First Blood,0 Dragoes
0,16,1,1,7,5,7,1,1,0,1,17787,7.2,18660,46,2360,1439,23.2,15,2,0,6,0,0,0,0,15427,6.6,17221,60,16.1,0.5833333333333334,14,2,1,Derrota Azul,Forte Vantagem,Com First Blood,1 Dragao
0,14,1,0,4,13,3,0,0,0,0,14129,6.6,16038,32,-5489,-3743,17.4,18,2,1,21,1,1,0,0,19618,7.4,19781,69,18.5,0.23529411764705882,12,-9,-1,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,16,3,0,8,6,12,1,1,0,0,16879,7.0,18288,44,45,-351,19.9,27,4,1,5,0,0,0,0,16834,7.0,18639,49,25.4,0.5714285714285714,12,2,1,Derrota Azul,Leve Vantagem,Sem First Blood,1 Dragao
1,16,2,1,6,7,3,1,0,1,0,15907,7.2,17910,55,-112,727,20.6,17,3,0,9,0,0,0,0,16019,6.8,17183,44,21.1,0.46153846153846156,13,-1,1,Vitoria Azul,Leve Desvantagem,Com First Blood,0 Dragoes
0,49,4,1,6,7,10,1,1,0,1,17035,6.6,16379,40,1385,-827,18.7,53,4,0,6,1,0,1,0,15650,6.6,17206,59,17.9,0.46153846153846156,45,-1,0,Derrota Azul,Leve Vantagem,Com First Blood,1 Dragao
0,14,0,0,1,11,0,0,0,0,0,13511,6.6,16013,46,-5087,-2795,20.0,53,0,1,18,0,0,0,0,18598,7.2,18808,55,22.6,0.08333333333333333,14,-10,0,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,17,2,1,4,3,3,0,0,0,0,14742,6.8,17515,40,-541,-1094,20.3,17,3,0,5,2,1,1,0,15283,7.2,18609,60,23.0,0.5714285714285714,14,1,-2,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
0,18,4,0,8,3,7,1,0,1,0,17574,7.2,19195,44,2774,2207,25.2,15,4,1,2,1,1,0,0,14800,6.6,16988,47,22.5,0.7272727272727273,14,5,0,Derrota Azul,Forte Vantagem,Sem First Blood,0 Dragoes
0,17,5,1,5,5,7,1,0,1,0,16242,7.0,18244,56,-598,-146,23.5,24,2,0,11,1,1,0,0,16840,7.0,18390,59,22.9,0.5,15,0,0,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,17,6,0,6,6,6,1,1,0,0,16538,7.4,18750,52,-626,239,23.1,42,4,1,10,1,0,1,0,17164,6.8,18511,43,23.0,0.5,13,0,0,Vitoria Azul,Leve Desvantagem,Sem First Blood,1 Dragao
0,12,1,0,1,5,1,0,0,0,0,13738,6.6,16678,34,-3468,-2158,22.3,14,2,1,7,2,1,1,0,17206,7.4,18836,70,25.9,0.16666666666666666,9,-4,-2,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
